                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4625,                 3.4226,                 2.6066,                0.57138,                0.20085,                0.18368,                0.08349,                 2.0278,                 1.3478,                 1.2987,               0.070052,              0.0033276,              0.0033276
                      1,                 1.8751,                 1.2476,                 1.2008,                0.70164,                0.27874,                 0.2977,                0.13875,                 1.7143,                 1.0348,                 1.0761,               0.040025,              0.0066345,              0.0066345
                      2,                 1.6366,                 1.0313,                 1.0722,                0.59717,                0.33055,                0.36471,                0.19731,                 1.4032,                0.84297,                0.97995,              0.0099727,              0.0099151,              0.0099151
                      3,                  1.453,                0.88298,                 1.0034,                0.68068,                0.37925,                0.42158,                0.23902,                 1.2564,                0.74391,                0.94021,              0.0098812,              0.0098812,              0.0098812
                      4,                   1.31,                 0.7644,                0.96099,                0.69369,                0.40131,                0.45879,                0.26054,                 1.1992,                0.67992,                0.91729,              0.0098812,              0.0098812,              0.0098812
                      5,                  1.232,                0.70229,                0.93776,                0.72798,                0.41048,                0.46614,                0.26798,                 1.1512,                0.63124,                0.89597,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.1806,                0.66017,                0.92316,                0.69026,                0.45557,                 0.4976,                0.29718,                 1.0663,                0.58722,                0.88428,               0.009802,               0.009802,               0.009802
                      7,                  1.143,                0.62992,                 0.9128,                0.73019,                0.45841,                0.51718,                 0.3179,                 1.0217,                0.55806,                0.87618,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.1113,                0.60913,                0.90609,                0.71258,                0.45512,                0.51199,                0.31528,                 1.0204,                0.55445,                0.87252,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.0873,                 0.5906,                0.90083,                0.71727,                0.46838,                0.52611,                0.32505,                0.99237,                0.53835,                0.86727,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.0723,                0.57695,                0.89601,                0.73374,                0.47389,                0.52609,                0.32751,                0.97088,                0.51731,                0.86068,              0.0096436,              0.0096436,              0.0096436
